Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees
arbitrum,1332830.527,510131.4951,0
aurora,0,126162.7672,0
avax,78868.57349,172337.6008,405883.8889
boba,32669.56297,138264.0522,57331.56779
bsc,203435.0861,100862.3598,0
canto,0,8400.772643,0
cronos,0,22234.35585,2510.634236
dfk,0,0,0
dogechain,0,5391.061846,0
ethereum,3147566.54,310305.0955,0
fantom,105317.6444,236603.9982,0
metis,1357009.919,133490.8008,62605.42463
moonriver,0,122.7756641,0
moonbeam,0,118.3750653,0
optimism,214577.4752,247419.6585,56468.77258
polygon,177348.7664,100736.4898,148049.8535
