Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees
arbitrum,1358703.032,561813.7303,0
aurora,0,126705.7735,0
avax,79015.81227,183005.7681,413505.6757
boba,32440.35748,138666.2781,57361.86528
bsc,201721.1252,132658.9006,0
canto,0,113847.7541,0
cronos,0,23349.52127,2559.548459
dfk,0,0,0
dogechain,0,5384.303227,0
ethereum,2909885.894,159084.7453,0
fantom,104666.5621,237600.4319,0
metis,1353456.766,138321.513,64040.00202
moonriver,0,97.32259246,0
moonbeam,0,140.4355128,0
optimism,250524.3126,265375.355,61839.38774
polygon,173543.0631,115418.9145,158092.3451
