Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees
arbitrum,188702.8135,480927.2049,0
aurora,0,124426.2152,0
avax,57791.59199,81057.84338,378641.598
boba,20928.24343,131179.0617,57340.87357
bsc,656472.691,371092.8616,0
canto,0,0,0
cronos,0,18723.99365,2316.489283
dfk,0,0,0
dogechain,0,4697.749674,0
ethereum,1734304.797,74374.41475,0
fantom,50181.28576,195969.6879,0
metis,44960.56249,105151.0957,55863.05787
moonriver,0,113.8357596,0
moonbeam,0,112.091704,0
optimism,4854.158758,143891.612,38127.32906
polygon,174693.8183,35068.11141,118023.4084
