Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees,CCTP Unclaimed Fees
arbitrum,506969.35827657365,703697.639725391,117993.77625471744,6415.319248
aurora,0.0,127818.48403413386,66156.57009785355,0
avax,952410.4267726346,59277.3802081296,5815.710299377225,769.79148
base,261750.13169883325,125406.30339724424,104367.75433725229,0.0
blast,0.0,218872.92158840588,627115.8905655668,0
boba,63401.98110790804,156638.16347270596,65757.86311119849,0.0
bsc,229.63737546662438,370302.3387566466,416644.94628199807,0.0
canto,0.0,176849.28992782466,11877.823181117023,0.0
cronos,0.0,29702.72589250576,2910.530730295049,0.0
dfk,0.0,205035.07194616218,0,0.0
dogechain,0.0,7212.095335106516,0,0.0
ethereum,8952009.9085522168,1106033.2772720135,56979.88961744272,0.0
fantom,2513.094868496946,24522.688434554868,0.2503595193192612,0
harmony,12392.398465678487,133.7731572579189,0.6909720618924464,0
metis,316214.34291735204,145691.39224092255,24016.92800562535,0
moonbeam,0.0,511.569470034024,0,0
moonriver,0.0,361.64011078227327,0,0.0
optimism,508605.9297717773,486982.09194370935,110510.01054556055,602.236457
polygon,12033.698487313197,75693.51093386821,38376.33198784473,0
klaytn,0.0,6700.982302062528,0,0.0
