Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees
arbitrum,1352625.213,556080.3784,36696.6756
aurora,0,126358.4953,0
avax,83665.22001,177048.373,409705.592
boba,33805.97465,139133.5804,57332.41205
bsc,201881.4641,115008.2426,0
canto,0,120592.1407,0
cronos,0,22761.37299,2534.0687
dfk,0,0,0
dogechain,0,5459.064083,0
ethereum,3364494.479,8053.774237,0
fantom,108220.6498,239147.3212,0
metis,1357570.029,136727.6329,63257.69128
moonriver,0,110.7633841,0
moonbeam,0,118.7795138,0
optimism,208841.0579,259178.8279,58547.10685
polygon,173287.3658,108412.6527,154332.4735
