Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees
arbitrum,106004.7178,324995.6373,36259.59184
aurora,0,124867.2183,0
avax,78664.77266,118450.8265,380608.0383
boba,27743.01942,134690.7168,57332.61679
bsc,207011.5968,392375.247,0
canto,0,31852.70695,0
cronos,0,19520.73033,2357.534946
dfk,0,0,0
dogechain,0,5086.904053,0
ethereum,2778659.654,268616.6662,0
fantom,67210.50024,209386.8119,0
metis,54609.60784,113115.5905,56470.32217
moonriver,0,154.8921474,0
moonbeam,0,152.7658655,0
optimism,6434.798084,177310.4303,39913.9014
polygon,181753.346,44647.81322,120157.4617
