Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees,CCTP Unclaimed Fees
arbitrum,426908.97173266776,422336.36577255296,47839.97293398998,10987.678345
aurora,0.0,127693.08902687287,66180.39625682664,0
avax,848286.9182541907,34328.83674502252,2066.7926295620646,3131.460042
base,194933.02189341094,72087.01582969747,45574.64670166586,0.0
blast,0.0,97615.54173936349,141896.23948184223,0
boba,50615.42655217856,149727.9207192876,61312.24297165085,0.0
bsc,277.24794043262943,330576.30108077993,396101.9060681795,0.0
canto,0.0,166626.09694292914,9473.63909213476,0.0
cronos,0.0,28254.119676649414,2813.372750085661,0.0
dfk,0.0,174922.8926351259,0,0.0
dogechain,0.0,6415.926597074475,0,0.0
ethereum,9232881.002439407,263673.53870382305,15708.378431834422,0.0
fantom,2327.857674396387,19920.796027830373,0.11743934462422863,0
harmony,9906.12064178682,81.6767872579189,0.6456859420603371,0
metis,236022.57706236228,75083.6364022371,17096.062747252152,0
moonbeam,0.0,377.5814482012182,0,0
moonriver,0.0,256.81331598066885,0,0.0
optimism,393765.25056957884,533145.1775581676,92914.78785197108,5119.620243
polygon,12317.483660074024,618.3682035170533,0,0
klaytn,0.0,37597.58296011009,0,0.0
