Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees,CCTP Unclaimed Fees
arbitrum,417633.91884628835,480137.1643393959,92698.9176571538,143.684587
aurora,0.0,127707.54939088946,65694.44532622547,0
avax,782285.0075047481,39241.681477401384,4120.748891458998,75.769478
base,182541.09041382585,80047.30684049542,81150.56301463902,0.0
blast,0.0,157131.33851612144,518652.4402139982,0
boba,42774.885291975035,145739.0724243118,62571.52386290792,0.0
bsc,134.61948985021985,339905.6968679169,410972.97955294646,0.0
canto,0.0,145059.28953538937,5057.311134462076,0.0
cronos,0.0,29416.752708094093,2896.7020648481266,0.0
dfk,0.0,170436.30166612208,0,0.0
dogechain,0.0,6023.469662312983,0,0.0
ethereum,8874494.5555175897,737986.5904415465,42521.16028689911,0.0
fantom,1572.4145938665229,17442.30120733871,0.2047477346536017,0
harmony,0,0,0,0
metis,223993.83583799287,130799.57602527681,21063.594192321958,0
moonbeam,0.0,314.7069245108729,0,0
moonriver,0.0,212.0982137335334,0,0.0
optimism,351994.9853382507,379651.6128010084,99559.32183912134,157.593567
polygon,7277.543322828085,45178.441722753436,22590.00404189691,0
klaytn,0,0,0,0
