Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees,CCTP Unclaimed Fees
arbitrum,1133423.9830393016,106236.83387313553,0,0.0
avax,152889.71054527225,105535.39428151563,418250.3482517244,0.0
boba,31420.2094527658,138715.19972014587,57276.28751076207,0
bsc,0.0,0.0,0,0
cronos,0.0,24609.764506221283,2616.2846746857876,0
ethereum,1958337.6695090428,848.9426516299897,0,0
metis,1369036.1003934096,146443.8527289799,65683.5774854796,0
optimism,212787.69642836606,291370.351210637,71254.23481868765,0.0
polygon,172467.51999081016,130572.82797652502,168723.28383335998,0
