Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees,CCTP Unclaimed Fees
arbitrum,423587.63130453916,504678.96376263665,99551.47429716492,1295.707546
aurora,0.0,127513.84594069285,65699.61694813278,0
avax,791018.1161488772,42073.923895089065,4779.810516571045,299.4652
base,187033.59076673925,83577.89442883593,84356.29430495923,0.0
blast,0.0,162508.4770065291,538474.8184178034,0
boba,43947.6621455059,146158.2387454084,62590.805730546286,0.0
bsc,173.60235030549197,343065.08204364683,412734.09759079485,0.0
canto,0.0,166668.77492193942,0,0.0
cronos,0.0,29490.252735447684,2904.0283399176797,0.0
dfk,0.0,168381.90806670397,0,0.0
dogechain,0.0,6111.000418503209,0,0.0
ethereum,7613758.8092778262,822560.42229324,48448.30905053096,0.0
fantom,1764.4490871476587,19237.28464031464,0.21669792363886484,0
harmony,0,0,0,0
metis,229661.238767436,131967.92481032334,21260.620422170454,0
moonbeam,0.0,317.30936222892853,0,0
moonriver,0.0,211.74559385627882,0,0.0
optimism,342280.8679415783,386530.92505022,100035.8981705673,374.287395
polygon,6369.079338249313,58233.10230508832,31483.236832269045,0
klaytn,0,0,0,0
