Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees,CCTP Unclaimed Fees
arbitrum,483353.99415085115,565532.6324561477,73390.7293955126,14613.190186
aurora,0.0,127735.58902687287,66107.34992269392,0
avax,896977.9172489564,34967.116699831975,3243.9205080915362,3707.33436
base,232197.3107938255,100771.13594855831,77811.2169485264,0.0
blast,0.0,166439.1313170265,375294.73900238215,0
boba,60369.8599136943,154806.91538710525,64618.84617139035,0.0
bsc,207.12831781418376,363336.08884884894,401314.17682614777,0.0
canto,0.0,172934.05737976363,11284.593831918039,0.0
cronos,0.0,28856.18053485105,2859.4704720251093,0.0
dfk,0.0,172257.70845809625,0,0.0
dogechain,0.0,6950.729163663836,0,0.0
ethereum,8392986.4142145586,493836.27046656364,25004.6856796523,0.0
fantom,1934.7038235640844,17237.994377278243,0.13837017884220704,0
harmony,11799.747362695225,97.7866272579189,0.6639166124877613,0
metis,250680.09326498496,112540.30023705037,21254.692874492943,0
moonbeam,0.0,437.84513461761674,0,0
moonriver,0.0,292.56020944754357,0,0.0
optimism,322512.35383184534,561773.1073768597,104222.04780864484,6207.330133
polygon,11769.673716682637,22577.628221186176,16794.070747609625,0
klaytn,0.0,38401.33796702697,0,0.0
