Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees,CCTP Unclaimed Fees
arbitrum,1100178.834592699,154232.04119950256,0,0.0
avax,68077.6107617568,176884.7105281081,416946.5229929941,0.0
boba,29514.184816928966,137692.30819068506,57275.598350323686,0
bsc,0.0,153267.09303657743,0,0
cronos,0.0,24201.610341305954,2595.4767070116354,0
ethereum,1838949.2435417809,122.60901964701334,0,0
metis,1369233.272232231,143140.31912396874,65299.85407260643,0
optimism,215356.33326999433,281438.6236384992,70542.8205342624,0.0
polygon,171088.29710029412,127031.64950729057,167005.33871516184,0
