Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees
arbitrum,217141.9664,726797.613,0
aurora,0,125185.0006,0
avax,92570.19627,139119.2064,386681.8486
boba,28049.06128,135048.6907,57335.70499
bsc,205390.4409,32294.41093,0
canto,0,0,0
cronos,0,20307.2556,2401.974564
dfk,0,0,0
dogechain,0,5103.768477,0
ethereum,3816119.349,285769.0982,0
fantom,68588.24609,224052.6293,0
metis,1359488.987,118045.6491,58061.12317
moonriver,0,181.76509,0
moonbeam,0,178.0685959,0
optimism,6505.782337,197689.7625,45026.59847
polygon,183532.862,65099.09173,125997.2546
