Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees,CCTP Unclaimed Fees
arbitrum,1204985.3880160747,2571721.9498315822,0,0.0
avax,163578.27356256678,143220.83032690664,420730.7943030563,0.0
boba,36591.2322608878,141399.25737755757,57276.61676877935,0
bsc,0.0,0.0,0,0
cronos,0.0,25264.30242269639,2648.3751709274193,0
ethereum,3014981.971045901,638.283359660813,0,0
metis,1356554.1094611683,152958.14659978286,66409.94943794797,0
optimism,264987.0787719625,639284.2584719657,72889.99233664312,0.0
polygon,175386.63090800884,134855.04518160867,170896.57465412843,0
