Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees,CCTP Unclaimed Fees
arbitrum,411073.80235848424,491955.7274914581,89689.40957010398,20541.826194
aurora,0.0,127768.32676049814,65676.97575172466,0
avax,780268.1007000409,36837.33478568041,4290.816858807416,4805.238263
base,169271.65907721478,81587.13450271767,78852.19766250534,0.0
blast,0.0,158473.7019469131,503522.9745660561,0
boba,43953.60645275397,146424.43808698148,62508.18540220927,0.0
bsc,152.9935769437876,336477.4131126402,409041.2124367775,0.0
canto,0.0,166331.56226471008,10117.918187861724,0.0
cronos,0.0,29340.742578650126,2892.8266884153527,0.0
dfk,0.0,160275.1107566633,0,0.0
dogechain,0.0,6077.163348589798,0,0.0
ethereum,8023664.90385922,696098.9051017603,37986.760887095574,0.0
fantom,1360.6095595213064,17083.57139524027,0.18913958603672548,0
harmony,0,0,0,0
metis,223568.8008129173,131038.87354105548,20845.411419990334,0
moonbeam,0.0,309.0842759851638,0,0
moonriver,0.0,203.555241859834,0,0.0
optimism,296263.6919302706,385067.10542511987,99224.75337376862,7944.796933
polygon,8137.006893988983,36089.45185523529,24446.832569846316,0
klaytn,0,0,0,0
