Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees
arbitrum,1653800.727,921087.1908,0
aurora,0,126005.5371,0
avax,86216.92671,174653.373,402387.5294
boba,33193.88584,138200.6366,57313.91636
bsc,203672.3321,82556.12666,0
canto,0,107897.8311,0
cronos,0,21755.2705,2484.884594
dfk,0,0,0
dogechain,0,5420.669993,0
ethereum,3087887.813,343125.8565,0
fantom,79796.58861,233841.0252,0
metis,1358797.342,130827.7753,61458.48627
moonriver,0,144.6372963,0
moonbeam,0,140.0676393,0
optimism,336199.0882,242279.7254,54010.97556
polygon,179293.0342,91936.80971,143172.3833
