Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees
arbitrum,229745.8937,861541.6049,0
aurora,0,125794.2561,0
avax,92570.1963,155485.807,397576.2206
boba,32013.24152,137383.6131,57349.42514
bsc,204114.7173,62243.41839,0
canto,0,97481.52402,0
cronos,0,20307.2556,2451.790581
dfk,0,0,0
dogechain,0,5333.980759,0
ethereum,3358273.124,458903.9914,0
fantom,77237.53139,228874.6973,0
metis,1359488.987,125987.7591,60240.31229
moonriver,0,161.0062428,0
moonbeam,0,156.8739225,0
optimism,352425.246,225834.5471,50226.30763
polygon,183532.862,80969.26188,138696.1709
